ESRS_ID,Topic,Sub-Topic_ID,Sub-topic,SubSubTopic_ID,Sub-sub-topics
S1,Own workforce,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Measuresagainstviolenceandharassmentintheworkplace,Measures against violence and harassment in the workplace
S1,Own workforce,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Diversity,Diversity
S1,Own workforce,Otherworkrelatedrights,Other work-related rights,Childlabour,Child labour
S1,Own workforce,Otherworkrelatedrights,Other work-related rights,Forcedlabour,Forced labour
S1,Own workforce,Otherworkrelatedrights,Other work-related rights,Adequatehousing,Adequate housing
S1,Own workforce,Otherworkrelatedrights,Other work-related rights,Privacy,Privacy
S2,Workers in the value chain,Workingconditions,Working conditions,Secureemployment,Secure employment
S2,Workers in the value chain,Workingconditions,Working conditions,Workingtime,Working time
S2,Workers in the value chain,Workingconditions,Working conditions,Adequatewages,Adequate wages
S2,Workers in the value chain,Workingconditions,Working conditions,Socialdialogue,Social dialogue
S2,Workers in the value chain,Workingconditions,Working conditions,Freedomofassociationincludingtheexistenceofworkscouncils,"Freedom of association, including the existence of works councils"
S2,Workers in the value chain,Workingconditions,Working conditions,Collectivebargaining,Collective bargaining
S2,Workers in the value chain,Workingconditions,Working conditions,Worklifebalance,Work-life balance
S2,Workers in the value chain,Workingconditions,Working conditions,Healthandsafety,Health and safety
S2,Workers in the value chain,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Genderequalityandequalpayforworkofequalvalue,Gender equality and equal pay for work of equal value
S2,Workers in the value chain,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Trainingandskillsdevelopment,Training and skills development
S2,Workers in the value chain,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Employmentandinclusionofpersonswithdisabilities,Employment and inclusion of persons with disabilities
S2,Workers in the value chain,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Measuresagainstviolenceandharassmentintheworkplace,Measures against violence and harassment in the workplace
S2,Workers in the value chain,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Diversity,Diversity
S2,Workers in the value chain,Otherworkrelatedrights,Other work-related rights,Childlabour,Child labour
S2,Workers in the value chain,Otherworkrelatedrights,Other work-related rights,Forcedlabour,Forced labour
S2,Workers in the value chain,Otherworkrelatedrights,Other work-related rights,Adequatehousing,Adequate housing
S2,Workers in the value chain,Otherworkrelatedrights,Other work-related rights,Waterandsanitation,Water and sanitation
S2,Workers in the value chain,Otherworkrelatedrights,Other work-related rights,Privacy,Privacy
S3,Affected communities,Communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",Adequatehousing,Adequate housing
S3,Affected communities,Communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",Adequatefood,Adequate food
S3,Affected communities,Communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",Waterandsanitation,Water and sanitation
S3,Affected communities,Communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",Landrelatedimpacts,Land-related impacts
S3,Affected communities,Communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",Securityrelatedimpacts,Security-related impacts
S3,Affected communities,Communities'civilandpoliticalrights,Communities' civil and political rights,Freedomofexpression,Freedom of expression
S3,Affected communities,Communities'civilandpoliticalrights,Communities' civil and political rights,Freedomofassembly,Freedom of assembly
S3,Affected communities,Communities'civilandpoliticalrights,Communities' civil and political rights,Impactsonhumanrightsdefenders,Impacts on human rights defenders
S3,Affected communities,Rightsofindigenouscommunities,Rights of indigenous communities,Freepriorandinformedconsent,"Free, prior and informed consent"
S3,Affected communities,Rightsofindigenouscommunities,Rights of indigenous communities,Selfdetermination,Self-determination
S3,Affected communities,Rightsofindigenouscommunities,Rights of indigenous communities,Culturalrights,Cultural rights
E4,Consumers and end-users,Informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,Privacy,Privacy
E4,Consumers and end-users,Informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,Freedomofexpression,Freedom of expression
E4,Consumers and end-users,Informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,Accesstoqualityinformation,Access to (quality) information
E4,Consumers and end-users,Personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,Healthandsafety,Health and safety
E4,Consumers and end-users,Personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,Securityofaperson,Security of a person
E4,Consumers and end-users,Personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,Protectionofchildren,Protection of children
E4,Consumers and end-users,Socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,Nondiscrimination,Non-discrimination
E4,Consumers and end-users,Socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,Accesstoproductsandservices,Access to products and services
E4,Consumers and end-users,Socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,Responsiblemarketingpractices,Responsible marketing practices
G1,Business conduct,Corporateculture,Corporate culture,,
G1,Business conduct,Protectionofwhistleblowers,Protection of whistle-blowers,,
G1,Business conduct,Animalwelfare,Animal welfare,,
G1,Business conduct,Politicalengagement,Political engagement,,
G1,Business conduct,Managementofrelationshipswithsuppliersincludingpaymentpractices,Management of relationships with suppliers including payment practices,,
G1,Business conduct,Corruptionandbribery,Corruption and bribery,Preventionanddetectionincludingtraining,Prevention and detection including training
G1,Business conduct,Corruptionandbribery,Corruption and bribery,Incidents,Incidents
