Impact_ID,Impact,ImpactArea_ID,ImpactAreas,AreaDefinition,ImpactTopicID,ImpactTopics,ImpactTopicDefinition,MainSDGsEquivalences1,MainSDGsEquivalences2
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Cultureheritage,Culture & heritage,"Population’s ability to access and participate in cultural life, to enjoy the arts
and to share in scientific advancement and its benefits. This includes the
safeguarding and promotion of cultural heritage in all its forms: tangible and
intangible, cultural and natural, movable and immovable.
International source:
UN General Assembly, Universal Declaration of Human Rights, UNESCO",11,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Finance,Finance,"Population's accesibility to the use of financial services by individuals and firms. Financial inclusion allows individuals and firms to take advantage of business opportunities, invest in education, save for retirement, and insure against risks. Financial health means a state in which an individual, household, micro, small or medium-sized enterprise can smoothly manage their current financial obligations and have confidence in their financial future. This includes four elements; managing day-to-day finances to meet short term needs; capacity to absorb financial shocks (resilience); capacity to reach future goals; feeling secure and in control of finances (confidence).  Source: The World Bank, UNEP",8,9
SOCIALneedsofindividuals,SOCIAL (needs of individuals),LIVELIHOOD,LIVELIHOOD,"Population’s accessibility to full and productive employment and decent work, which delivers a fair income, security in the workplace, social protection for families, and involves prospects for personal development and social integration, freedom for people to express their concerns, organize and participate in the decisions that affect their lives and equality of opportunity and treatment.
Source:
The International Labour Organisation",Employment,Employment,"Population's accesibility to productive work in conditions of freedom, equity, security and human dignity. Source: ILO",1,8
SOCIALneedsofindividuals,SOCIAL (needs of individuals),LIVELIHOOD,LIVELIHOOD,"Population’s accessibility to full and productive employment and decent work, which delivers a fair income, security in the workplace, social protection for families, and involves prospects for personal development and social integration, freedom for people to express their concerns, organize and participate in the decisions that affect their lives and equality of opportunity and treatment.
Source:
The International Labour Organisation",Wages,Wages,"Population's accesibility to a living wage, defined as the remuneration received for a standard workweek by a worker in a particular place sufficient to afford a decent standard of living for the worker and her or his dependents. Elements of a decent standard of living include food, water, housing, education, health care, transportation, clothing and other essential needs including provision for unexpected events. Source: Global Living Wage Coalition",1,8
SOCIALneedsofindividuals,SOCIAL (needs of individuals),LIVELIHOOD,LIVELIHOOD,"Population’s accessibility to full and productive employment and decent work, which delivers a fair income, security in the workplace, social protection for families, and involves prospects for personal development and social integration, freedom for people to express their concerns, organize and participate in the decisions that affect their lives and equality of opportunity and treatment.
Source:
The International Labour Organisation",Socialprotection,Social protection,"Population's accesibility to social protection, or social security, as the set of policies and programmes designed to reduce and prevent poverty and vulnerability across the life cycle. Social protection includes nine main areas: child and family benefits, maternity protection, unemployment support, employment injury benefits, sickness benefits, health protection, old-age benefits, disability benefits and survivors’ benefits. Source: ILO",1,10
SOCIALneedsofindividuals,SOCIAL (needs of individuals),EQUALITYJUSTICE,EQUALITY  & JUSTICE,"Population’s ability to live free from discrimination of all kinds (gender, racial, ethnic, age et al.) and to access justice in an equal and inclusive way.
Source:
United Nations General Assembly",Genderequality,Gender equality,"Population's ability to live free from gender inequality, where there is an equal treatment of rights, responsibilities and opportunities of women and men. Source: UN WOMEN",5,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),EQUALITYJUSTICE,EQUALITY  & JUSTICE,"Population’s ability to live free from discrimination of all kinds (gender, racial, ethnic, age et al.) and to access justice in an equal and inclusive way.
Source:
United Nations General Assembly",Ethnicracialequality,Ethnic/racial equality,"Population's ability to live free from ethnic/racial discrimination which is defined on any distinction, exclusion, restriction or preference based on race, colour, descent, or national or ethnic origin which has the purpose or effect of nullifying or impairing the recognition, enjoyment or exercise, on an equal footing, of human rights and fundamental freedoms in the political, economic, social, cultural or any other field of public life. Source: OHCHR  ",10,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),EQUALITYJUSTICE,EQUALITY  & JUSTICE,"Population’s ability to live free from discrimination of all kinds (gender, racial, ethnic, age et al.) and to access justice in an equal and inclusive way.
Source:
United Nations General Assembly",Agediscriminiation,Age discriminiation,"Population's ability to live free fom ageism, defined as the stereotypes (how we think), prejudice (how we feel) and discrimination (how we act) towards others or oneself based on age. Source: WHO",10,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),EQUALITYJUSTICE,EQUALITY  & JUSTICE,"Population’s ability to live free from discrimination of all kinds (gender, racial, ethnic, age et al.) and to access justice in an equal and inclusive way.
Source:
United Nations General Assembly",Othervulnerablegroups,Other vulnerable groups,"Population's ability for vulnerable groups to live free from discrimination. These groups can include persons with disabilities, LBGT+ persons, migrants, refugees and asylum-seekers. Source: OHCHR",10,
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),STRONGINSITUTIONSPEACESTABILITY,"STRONG INSITUTIONS, PEACE & STABILITY","Population’s ability to benefit from effective, accountable and inclusive institutions, which support the expansion of rule of law, maintenance of civil liberties and overall political and economic stability. Protection from corruption and bribery in all their forms, illicit financial and arms flows, all forms of organized crime and interference with rule of law; and recovery and return of stolen assets.
Source:
United Nations General Assembly, Human Rights Council, OECD",RuleofLaw,Rule of Law,"Population’s ability to benefit from effective, accountable and inclusive institutions, which support the expansion of rule of law. Protection from corruption and bribery in all their forms, illicit financial and arms flows, all forms of organized crime and interference with rule of law; and recovery and return of stolen assets.
Source:
United Nations General Assembly, Human Rights Council, OECD",16,
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),STRONGINSITUTIONSPEACESTABILITY,"STRONG INSITUTIONS, PEACE & STABILITY","Population’s ability to benefit from effective, accountable and inclusive institutions, which support the expansion of rule of law, maintenance of civil liberties and overall political and economic stability. Protection from corruption and bribery in all their forms, illicit financial and arms flows, all forms of organized crime and interference with rule of law; and recovery and return of stolen assets.
Source:
United Nations General Assembly, Human Rights Council, OECD",Civilliberties,Civil liberties,"Population’s ability to benefit from effective, accountable and inclusive institutions, which support the maintenance and expansion of civil liberties.
Source:
United Nations General Assembly, Human Rights Council, OECD",16,
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),HEALTHYECONOMIES,HEALTHY ECONOMIES,"Development and creation of sustainable, diverse and innovative markets, that add value to society and the economy. This also includes the process of economic diversification where an economy shifts away from a single income source toward multiple sources from a growing range of sectors and markets.
Source:
European Bank for Reconstruction and Development, OECD, United
Nations Special Advocate for Inclusive Finance, United Nations Development
Programme, SDGs, UNFCCC",Sectordiversity,Sector diversity,"Diversifying local and national economies away from a single income source towards multiple sources from a growing range of sectors and markets. 
Source: 
UNFCCC",8,9
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),HEALTHYECONOMIES,HEALTHY ECONOMIES,"Development and creation of sustainable, diverse and innovative markets, that add value to society and the economy. This also includes the process of economic diversification where an economy shifts away from a single income source toward multiple sources from a growing range of sectors and markets.
Source:
European Bank for Reconstruction and Development, OECD, United
Nations Special Advocate for Inclusive Finance, United Nations Development
Programme, SDGs, UNFCCC",FlourishingMSMEs,Flourishing MSMEs,Development and value creation through successful MSMEs,8,
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),INFRASTRUCTURE,INFRASTRUCTURE,"Development and creation of vital services and systems that range from transport systems to power grids and sanitation networks, it provides the services that enable society to function and economies to thrive. 
Source: 
UNOPS",,,,9,
SOCIOECONOMICcollectivehumanneeds,SOCIO-ECONOMIC (collective human needs),SOCIOECONOMICCONVERGENCE,SOCIO-ECONOMIC CONVERGENCE,"Ability of countries to reduce inequality at the individual and population level.
income.
Source:
United Nations Department of Economic and Social Affairs",,,,10,17
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),CLIMATESTABILITY,CLIMATE STABILITY,"State of the climate when not affected by human activities. Human activities change the composition of the global atmosphere with the exposure to greenhouse gas (GHG) emissions being a direct factor contributing to climate change. Climate stability can be achieved through the: 
- avoidance of GHG emissions (avoided emissions are emission reductions that occur outside of a product's life cycle or value chain, but as a result of the use of that product) 
- reduction of GHG emissions (limitation of emissions directly related to the product)
- removal of GHG emissions (anthropogenic activities removing CO2 from the atmosphere and durably storing it in geological, terrestrial, or ocean reservoirs, or in products. It includes existing and potential anthropogenic enhancement of biological or geochemical sinks and direct air capture and storage)
Source:
Intergovernmental Panel on Climate Change, Global CCS Institute, World Resources Institute",,,,13,
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),BIODIVERSITYHEALTHYECOSYSTEMS,BIODIVERSITY & HEALTHY ECOSYSTEMS,"Variety of living organisms from all sources including, terrestrial, marine
and aquatic ecosystems and the ecosystems they are part of. This includes
diversity within species, between species and of ecosystems varying from within waterbodies, soil and in the air.
Source:
United Nations, Convention on Biological Diversity",Waterbodies,Waterbodies,"Quality, understood as the physical, chemical, biological, and taste-related
properties of water, as well as the quantity of surface water and groundwater.
Source:
United Nations, European Commission, International Monetary Fund, OECD,
World Bank",6,14
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),BIODIVERSITYHEALTHYECOSYSTEMS,BIODIVERSITY & HEALTHY ECOSYSTEMS,"Variety of living organisms from all sources including, terrestrial, marine
and aquatic ecosystems and the ecosystems they are part of. This includes
diversity within species, between species and of ecosystems varying from within waterbodies, soil and in the air.
Source:
United Nations, Convention on Biological Diversity",Air,Air,"Quality of ambient (outdoor) and household (indoor) air as exposed to
contaminant or pollutant substances that do not disperse properly and
that interfere with human health and welfare, or produce other harmful
environmental effects.
Source:
United Nations Statistics Division, WHO",11,12
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),BIODIVERSITYHEALTHYECOSYSTEMS,BIODIVERSITY & HEALTHY ECOSYSTEMS,"Variety of living organisms from all sources including, terrestrial, marine
and aquatic ecosystems and the ecosystems they are part of. This includes
diversity within species, between species and of ecosystems varying from within waterbodies, soil and in the air.
Source:
United Nations, Convention on Biological Diversity",Soil,Soil,"Composition of soil and its ability to deliver ecosystem services, in terms
of food production, as biodiversity pools and as a regulator of gases, water
and nutrients. Exposure to pollutants and factors that may interfere with this
ability and soil stability for future land use.
Source:
United Nations Glossary, FAO, European Environment Agency",15,12
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),BIODIVERSITYHEALTHYECOSYSTEMS,BIODIVERSITY & HEALTHY ECOSYSTEMS,"Variety of living organisms from all sources including, terrestrial, marine
and aquatic ecosystems and the ecosystems they are part of. This includes
diversity within species, between species and of ecosystems varying from within waterbodies, soil and in the air.
Source:
United Nations, Convention on Biological Diversity",Species,Species,"Ability to maintain species which can range from an animal, a tree, a coral, a fungus, an insect, or any number of other life forms on this planet. Endangered species are species that are listed as Critically Endangered (CR), Endangered (EN) or Vulnerable (VU) by the IUCN Red list. 
Source: 
WWF, IUCN",14,15
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),BIODIVERSITYHEALTHYECOSYSTEMS,BIODIVERSITY & HEALTHY ECOSYSTEMS,"Variety of living organisms from all sources including, terrestrial, marine
and aquatic ecosystems and the ecosystems they are part of. This includes
diversity within species, between species and of ecosystems varying from within waterbodies, soil and in the air.
Source:
United Nations, Convention on Biological Diversity",Habitat,Habitat,"Ability to protect, restore and promote sustainable use of terrestrial and non-terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss. 
Source: 
UN SDGs",14,15
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),CIRCULARITY,CIRCULARITY,"Circular processes contributing to circularity can be grouped into 4 categories, from the most impactful to the least:
1. Reduce by design: reducing the amount of material used, particularly raw material, should be applied as an overall guiding principle from the earliest stages of design of products and services
2. From a user-to-user perspective: Refuse, Reduce and Re-use
3. From a user-to-business intermediary perspective: Repair, Refurbish and Remanufacture
4. From business-to-business: Repurpose and Recycle.
Source: UNEP",Resourceintensity,Resource intensity,"Efficient use of limited, non-renewable natural resources (which cannot be regenerated after exploitation/extraction) and renewable natural resources (which can return to their previous stock levels by natural processes of growth or replenishment) in the process of exploiting nature for production and consumption purposes. Can also be read as resource security.
Source:
United Nations Glossary, International Resource Panel",12,
ENVIRONMENTplanetaryboundaries,ENVIRONMENT (planetary boundaries),CIRCULARITY,CIRCULARITY,"Circular processes contributing to circularity can be grouped into 4 categories, from the most impactful to the least:
1. Reduce by design: reducing the amount of material used, particularly raw material, should be applied as an overall guiding principle from the earliest stages of design of products and services
2. From a user-to-user perspective: Refuse, Reduce and Re-use
3. From a user-to-business intermediary perspective: Repair, Refurbish and Remanufacture
4. From business-to-business: Repurpose and Recycle.
Source: UNEP",Waste,Waste,"Ability to manage waste, including the control, monitoring and regulation of
the production, collection, transport, treatment and disposal of waste, and
the prevention of waste production through in-process modifications, reuse
and recycling during a project lifecycle. This includes waste reduction.
Source:
United Nations Glossary, United Nations General Assembly",11,12
