ESRS_ID,Topic,Sub-Topic_ID,Sub-topic,SubSubTopic_ID,Sub-sub-topics
S1,Own workforce,otherworkrelatedrights,Other work-related rights,childlabour,Child labour
S1,Own workforce,otherworkrelatedrights,Other work-related rights,forcedlabour,Forced labour
S1,Own workforce,otherworkrelatedrights,Other work-related rights,adequatehousing,Adequate housing
S1,Own workforce,otherworkrelatedrights,Other work-related rights,privacy,Privacy
S2,Workers in the value chain,workingconditions,Working conditions,secureemployment,Secure employment
S2,Workers in the value chain,workingconditions,Working conditions,workingtime,Working time
S2,Workers in the value chain,workingconditions,Working conditions,adequatewages,Adequate wages
S2,Workers in the value chain,workingconditions,Working conditions,socialdialogue,Social dialogue
S2,Workers in the value chain,workingconditions,Working conditions,freedomofassociationincludingtheexistenceofworkscouncils,"Freedom of association, including the existence of works councils"
S2,Workers in the value chain,workingconditions,Working conditions,collectivebargaining,Collective bargaining
S2,Workers in the value chain,workingconditions,Working conditions,worklifebalance,Work-life balance
S2,Workers in the value chain,workingconditions,Working conditions,healthandsafety,Health and safety
S2,Workers in the value chain,equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,genderequalityandequalpayforworkofequalvalue,Gender equality and equal pay for work of equal value
S2,Workers in the value chain,equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,trainingandskillsdevelopment,Training and skills development
S2,Workers in the value chain,equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,employmentandinclusionofpersonswithdisabilities,Employment and inclusion of persons with disabilities
S2,Workers in the value chain,equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,measuresagainstviolenceandharassmentintheworkplace,Measures against violence and harassment in the workplace
S2,Workers in the value chain,equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,diversity,Diversity
S2,Workers in the value chain,otherworkrelatedrights,Other work-related rights,childlabour,Child labour
S2,Workers in the value chain,otherworkrelatedrights,Other work-related rights,forcedlabour,Forced labour
S2,Workers in the value chain,otherworkrelatedrights,Other work-related rights,adequatehousing,Adequate housing
S2,Workers in the value chain,otherworkrelatedrights,Other work-related rights,waterandsanitation,Water and sanitation
S2,Workers in the value chain,otherworkrelatedrights,Other work-related rights,privacy,Privacy
S3,Affected communities,communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",adequatehousing,Adequate housing
S3,Affected communities,communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",adequatefood,Adequate food
S3,Affected communities,communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",waterandsanitation,Water and sanitation
S3,Affected communities,communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",landrelatedimpacts,Land-related impacts
S3,Affected communities,communities'economicsocialandculturalrights,"Communities' economic, social and cultural rights",securityrelatedimpacts,Security-related impacts
S3,Affected communities,communities'civilandpoliticalrights,Communities' civil and political rights,freedomofexpression,Freedom of expression
S3,Affected communities,communities'civilandpoliticalrights,Communities' civil and political rights,freedomofassembly,Freedom of assembly
S3,Affected communities,communities'civilandpoliticalrights,Communities' civil and political rights,impactsonhumanrightsdefenders,Impacts on human rights defenders
S3,Affected communities,rightsofindigenouscommunities,Rights of indigenous communities,freepriorandinformedconsent,"Free, prior and informed consent"
S3,Affected communities,rightsofindigenouscommunities,Rights of indigenous communities,selfdetermination,Self-determination
S3,Affected communities,rightsofindigenouscommunities,Rights of indigenous communities,culturalrights,Cultural rights
E4,Consumers and end-users,informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,privacy,Privacy
E4,Consumers and end-users,informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,freedomofexpression,Freedom of expression
E4,Consumers and end-users,informationrelatedimpactsforconsumersandorendusers,Information-related impacts for consumers and/or end users,accesstoqualityinformation,Access to (quality) information
E4,Consumers and end-users,personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,healthandsafety,Health and safety
E4,Consumers and end-users,personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,securityofaperson,Security of a person
E4,Consumers and end-users,personalsafetyofconsumersandorendusers,Personal safety of consumers and/or end-users,protectionofchildren,Protection of children
E4,Consumers and end-users,socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,nondiscrimination,Non-discrimination
E4,Consumers and end-users,socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,accesstoproductsandservices,Access to products and services
E4,Consumers and end-users,socialinclusionofconsumersandorendusers,Social inclusion of consumers and/or end-users,responsiblemarketingpractices,Responsible marketing practices
G1,Business conduct,corporateculture,Corporate culture,,
G1,Business conduct,protectionofwhistleblowers,Protection of whistle-blowers,,
G1,Business conduct,animalwelfare,Animal welfare,,
G1,Business conduct,politicalengagement,Political engagement,,
G1,Business conduct,managementofrelationshipswithsuppliersincludingpaymentpractices,Management of relationships with suppliers including payment practices,,
G1,Business conduct,corruptionandbribery,Corruption and bribery,preventionanddetectionincludingtraining,Prevention and detection including training
G1,Business conduct,corruptionandbribery,Corruption and bribery,incidents,Incidents
